name	date_established	rating	expense	type	owner	phone_number
"Jakubowski, Schulist and Stiedemann"	1/28/1961	4	moderately expensive	Restaurant	Amaleta Poveleye	408-832-4848
"Flatley, Collier and Bailey"	10/9/2020	4	inexpensive	Restaurant	Jervis Klemke	719-819-9061
Schiller LLC	3/29/1963	2	moderately expensive	Restaurant	Casie Jiranek	871-628-2423
Emmerich-Strosin	7/15/1950	5	inexpensive	Bank	Lane Pentecost	564-996-4195
Walker-Nitzsche	5/23/1996	1	inexpensive	Bar	Philly Bollans	442-956-5807
Lesch-Hagenes	8/30/1980	2	moderately expensive	Hotel	Christel Keam	568-750-6816
"Kihn, Kuhn and Medhurst"	11/19/1969	2	very expensive	Restaurant	Ignacio Zannuto	699-601-9170
"Mann, Smitham and McKenzie"	9/3/1996	2	very expensive	Hotel	Verine Smidmor	975-785-7390
"Littel, Padberg and Davis"	3/30/1983	1	moderately expensive	Bar	Fan Musico	862-931-4067
Maggio Group	4/3/1992	2	moderately expensive	Bank	Marillin Rootham	883-511-3199
Johns-Swift	3/11/2020	1	very expensive	Bar	Ron Kalinowsky	836-239-2478
Reynolds-Ankunding	6/26/1965	1	very expensive	Bar	Philipa O'Fergus	671-721-2908
Schneider Inc	12/11/1981	3	very expensive	Hotel	Anitra Dongate	376-636-4024
Waelchi Group	3/22/1959	3	very expensive	Bank	Derk Enderle	154-949-8100
Connelly LLC	3/29/1991	4	very expensive	Store	Gerhard Hackly	771-667-6672
"Waters, Harber and Volkman"	1/4/1994	5	moderately expensive	Restaurant	Stacie Zamora	906-900-8490
Hermann-Schulist	7/9/1950	4	inexpensive	Store	Nadiya Cairns	211-805-9931
"Ryan, Hartmann and Considine"	12/20/1982	5	inexpensive	Bar	Dacey Itzkowicz	356-601-4135
Gleichner Group	10/22/1980	5	very expensive	Bank	Paolo Dinneen	799-649-1477
"Jacobson, Wyman and Balistreri"	3/21/1966	3	moderately expensive	Bank	Hanna Mandell	217-717-0187
"Ryan, Nienow and Robel"	7/28/2001	1	very expensive	Bank	Ozzie Curling	839-464-5617
Ernser and Sons	9/27/1964	5	very expensive	Restaurant	Cherida Noor	671-866-5319
"Bergnaum, Rath and Treutel"	9/19/1956	2	inexpensive	Store	Beret Daftor	320-400-4328
Ernser Inc	9/23/2017	3	moderately expensive	Bar	Michal Laird-Craig	923-936-2889
White-Wehner	8/19/1970	5	moderately expensive	Bank	Cassandry Aucock	410-479-0019
"Reichel, Kemmer and Wiegand"	12/31/2003	3	inexpensive	Bar	Margareta Markovic	211-909-2734
Hamill Inc	2/26/1957	1	very expensive	Bar	Forrester Schwier	895-785-7457
Spinka LLC	6/18/1951	1	very expensive	Restaurant	Zonnya Crommett	376-861-9283
"Thompson, Buckridge and Zulauf"	2/9/2011	4	very expensive	Restaurant	Bryon Kubec	933-156-6998
Lang-Kuhic	8/22/2014	4	inexpensive	Restaurant	Feliks Sneezum	110-473-0012
Cronin-Metz	2/14/1966	5	moderately expensive	Bar	Felicle Bolle	649-147-5292
"Senger, Kuhn and Lindgren"	6/2/1989	5	very expensive	Hotel	Elbertine Double	472-338-1613
Walter and Sons	1/7/2001	2	inexpensive	Bank	Westbrooke Scoullar	528-327-9892
"Gorczany, Treutel and Collins"	10/10/1955	1	moderately expensive	Hotel	Sutherlan Giacobillo	439-474-1403
Marks-Dickinson	6/29/2003	3	inexpensive	Bank	Ad Marris	318-342-3061
Schinner-Windler	5/12/1958	5	moderately expensive	Store	Marie-jeanne Pirt	800-201-6360
"Bruen, Cruickshank and Greenfelder"	11/9/1978	3	inexpensive	Store	Roselin Temlett	213-113-2124
"Wyman, Weissnat and Mraz"	5/2/2009	5	inexpensive	Restaurant	Raynard Jenicek	926-256-0693
"Lakin, Fisher and Greenholt"	12/4/1966	5	inexpensive	Hotel	Ulrika Gilyatt	315-478-4448
Bauch LLC	1/24/2016	5	very expensive	Restaurant	Bertie Newcomen	236-159-7998
"Mante, Witting and Moen"	6/16/2008	1	very expensive	Store	Burl Devonside	921-915-7626
Waelchi-Hintz	5/31/2011	1	very expensive	Bar	Riordan Annetts	874-512-8890
"Jones, Ortiz and Schinner"	6/26/1987	5	inexpensive	Restaurant	Horatius Van der Velde	667-220-3214
Lebsack Group	1/10/1953	3	inexpensive	Store	Jermaine Swatman	772-385-8379
"Murazik, O'Kon and Witting"	10/10/1957	1	moderately expensive	Bar	Artur Pedrol	535-739-3896
"Weimann, Stark and Fahey"	2/19/1982	4	moderately expensive	Hotel	Blane Corona	585-383-9121
Braun LLC	6/13/2005	3	moderately expensive	Restaurant	Joellyn Assel	415-558-5802
Schulist LLC	7/1/1990	1	very expensive	Bank	Vasilis Dorward	702-997-4959
"Johns, Becker and Krajcik"	8/1/1992	2	moderately expensive	Hotel	Rubina Mordacai	809-171-4358
Gislason-Rempel	4/30/1969	2	inexpensive	Restaurant	Donetta Greim	374-511-6565
Ritchie-Okuneva	10/2/1950	3	inexpensive	Hotel	Willa Drew-Clifton	673-980-0921
"Rice, Casper and Ebert"	9/20/2015	2	moderately expensive	Bar	Sanford Jarrel	107-841-9201
"Sanford, Lowe and Towne"	7/20/1983	2	inexpensive	Bank	Leicester Derx	440-641-8931
Bernier Inc	10/19/1976	1	inexpensive	Restaurant	Joelie Ivimey	693-160-2903
Schmitt-Hills	5/1/1982	2	very expensive	Restaurant	Lacey Davenhall	249-883-9969
Marquardt-Feeney	12/6/1967	5	very expensive	Bar	Dasha Joddins	119-458-8840
Little Group	2/8/2008	1	moderately expensive	Restaurant	Starla Diviney	459-518-5514
Koepp Inc	7/7/1950	2	inexpensive	Restaurant	Falito MacCallum	621-778-1816
Pouros Group	9/18/1973	1	moderately expensive	Bar	Gearard Penhalurick	888-744-5065
Dickinson LLC	6/7/1983	3	inexpensive	Store	Sarena Garvie	785-133-6966
Hilpert-Rowe	2/12/2008	4	moderately expensive	Restaurant	Leora Sacks	248-829-8128
Connelly Inc	2/25/2013	1	very expensive	Bar	Selby Charlson	273-847-8434
McKenzie-Gerlach	12/30/1952	1	inexpensive	Bar	Maryanne Carletto	405-402-5269
"Corkery, Sporer and Mraz"	4/8/1976	2	inexpensive	Hotel	Lyndsie Gannicleff	497-624-7331
Kovacek LLC	4/25/2019	3	moderately expensive	Restaurant	Skipp De Benedictis	388-551-1018
Bergstrom-Bartell	1/20/1981	4	very expensive	Store	Deloria Aitkenhead	949-514-2097
Lynch-Blanda	4/12/2005	5	very expensive	Bar	Cal Avraam	917-193-6589
Cartwright and Sons	11/1/1978	2	inexpensive	Bank	Mandy Goaley	504-718-6982
"Spencer, Goyette and Wisozk"	12/13/1992	2	moderately expensive	Bar	Bryon Cammell	851-192-0124
Cronin-Bergnaum	10/24/1961	4	inexpensive	Store	Sayre Cavendish	641-423-0298
Balistreri Group	5/20/2010	3	very expensive	Hotel	Jessamyn Mutton	278-389-2323
"Keebler, Maggio and McClure"	12/4/1958	4	inexpensive	Bar	Mike Lucas	352-920-0662
Stoltenberg Group	12/21/1953	5	moderately expensive	Bar	Tobey Ranns	142-516-7725
Champlin LLC	5/26/1972	2	very expensive	Restaurant	Annissa Gronowe	107-562-6865
"Gulgowski, King and Blanda"	6/30/1983	2	inexpensive	Bank	Ash Bithany	518-838-1345
"Wuckert, Ondricka and Hauck"	6/18/1991	5	very expensive	Restaurant	Orren Amoore	842-582-7128
Lueilwitz-Dicki	9/5/1968	1	inexpensive	Bank	Wilfred Backhurst	949-968-9750
Dach-Hyatt	1/23/2008	3	very expensive	Bar	Olwen Talkington	838-710-5751
"Huel, Koch and Bartell"	12/9/1970	2	moderately expensive	Restaurant	Candra Gillbey	959-813-5510
"Johnson, Thompson and Windler"	8/12/1960	5	moderately expensive	Store	Almeta Helstrip	591-583-5429
"Ruecker, Crona and Kshlerin"	6/15/1968	4	very expensive	Store	Kassey Melton	412-389-5792
"Weber, Connelly and MacGyver"	3/18/1971	4	moderately expensive	Hotel	Damon Gibbe	423-181-2968
"Keebler, Nitzsche and Ryan"	7/31/1955	1	very expensive	Store	Cosme Clinton	542-881-5895
Rath-Ward	11/13/1957	5	very expensive	Hotel	Alfie Joddens	443-694-4072
O'Connell-Lowe	4/13/1952	3	very expensive	Restaurant	Sissie O'Spellissey	173-252-4435
Lang-Jones	12/7/1982	4	very expensive	Bank	Hugo Frome	543-758-4690
Wyman-Bahringer	3/14/1954	1	very expensive	Store	Davide Alves	920-524-9713
"Jerde, Johns and Heaney"	8/14/1975	3	inexpensive	Store	Roby McHarry	757-901-8299
Kozey-Stehr	6/8/1984	1	very expensive	Hotel	Tybi Hain	167-390-7026
